traceroute to www.ungs.edu.ar (104.27.160.200), 64 hops max
  1   192.168.0.1 (192.168.0.1)  0,004ms  0,005ms  0,004ms 
  2   *  *  * 
  3   *  *  * 
  4   *  *  * 
 48   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
 49   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 50   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,134ms 
 51   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 52   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 53   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 54   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 55   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
 56   192.168.0.1 (192.168.0.1)  0,002ms  0,126ms  0,003ms 
 57   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 58   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 59   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 60   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 61   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 62   192.168.0.1 (192.168.0.1)  0,003ms  0,005ms  0,002ms 
 63   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 64   192.168.0.1 (192.168.0.1)  0,003ms  0,004ms  0,002ms 


traceroute to www.msu.ru (188.44.50.103), 64 hops max
  1   192.168.0.1 (192.168.0.1)  0,005ms  0,004ms  0,003ms 
  2   *  *  * 
  3   *  *  * 
  4   *  *  * 
  5   200.89.160.25 (25-160-89-200.fibertel.com.ar)  9,199ms  9,220ms  9,306ms 
  6   200.89.165.222 (222-165-89-200.fibertel.com.ar)  12,482ms  10,366ms  14,563ms 
  7   185.70.203.32 (ae6.baires5.bai.seabone.net)  10,985ms  9,494ms  10,878ms 
  8   89.221.41.181 (et2-1-0.miami19.mia.seabone.net)  139,753ms  137,144ms  136,636ms 
  9   154.54.9.17 (be6762.ccr21.mia03.atlas.cogentco.com)  133,049ms  132,601ms  131,360ms 
 10   154.54.47.17 (be3400.ccr21.mia01.atlas.cogentco.com)  137,637ms  137,772ms  137,707ms 
 11   154.54.24.145 (be3482.ccr41.atl01.atlas.cogentco.com)  163,756ms  163,447ms  162,671ms 
 12   154.54.7.157 (be2112.ccr41.dca01.atlas.cogentco.com)  234,088ms  234,650ms  238,312ms 
 13   154.54.40.109 (be2807.ccr42.jfk02.atlas.cogentco.com)  234,905ms  243,488ms  231,130ms 
 14   154.54.41.61 (be2916.ccr22.alb02.atlas.cogentco.com)  236,717ms  239,110ms  235,586ms 
 15   154.54.43.21 (be2104.ccr22.ymq01.atlas.cogentco.com)  233,747ms  230,545ms  235,590ms 
 16   154.54.44.165 (be3043.ccr22.lpl01.atlas.cogentco.com)  233,894ms  233,023ms  233,642ms 
 17   154.54.77.245 (be2182.ccr41.ams03.atlas.cogentco.com)  233,254ms  235,833ms  235,273ms 
 18   154.54.38.206 (be2815.ccr41.ham01.atlas.cogentco.com)  240,961ms  241,898ms  241,303ms 
